assay_description,canonical_smiles,document_journal,document_year,molecule_chembl_id,record_id,target_organism,units,value
In vitro anti-leishmanial activity against promastigote cultures of Leishmania donovani MON 703,C[N+](C)(C)CCOP(=O)([O-])OCCCCCC12CC3CC(CC(C3)C1)C2,J Med Chem,2003.0,CHEMBL166314,323671,Leishmania donovani,uM,4.02
In vitro anti-leishmanial activity against promastigote cultures of Leishmania infantum MON 235,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC=C1C2CC3CC(C2)CC1C3,J Med Chem,2003.0,CHEMBL166092,323676,Leishmania infantum,uM,6.75
In vitro anti-leishmanial activity against promastigote cultures of Leishmania donovani MON 703,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC=C1C2CC3CC(C2)CC1C3,J Med Chem,2003.0,CHEMBL166092,323676,Leishmania donovani,uM,3.16
In vitro anti-leishmanial activity against promastigote cultures of Leishmania infantum MON 235,CCCCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCOCC2)CC1,J Med Chem,2003.0,CHEMBL166182,323694,Leishmania infantum,uM,3.7
In vitro anti-leishmanial activity against promastigote cultures of Leishmania donovani MON 703,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2C3CC4CC(C3)CC2C4)CCCCC1,J Med Chem,2003.0,CHEMBL164620,323693,Leishmania donovani,uM,5.41
In vitro anti-leishmanial activity against promastigote cultures of Leishmania donovani MON 703,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2CCCCC2)CCCCC1,J Med Chem,2003.0,CHEMBL164588,323681,Leishmania donovani,uM,8.7
In vitro anti-leishmanial activity against promastigote cultures of Leishmania infantum MON 235,CCCCCCCCCCCCC1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,J Med Chem,2003.0,CHEMBL423980,323674,Leishmania infantum,uM,5.65
In vitro anti-leishmanial activity against promastigote cultures of Leishmania donovani MON 703,CCCCCCCCCCCCC1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,J Med Chem,2003.0,CHEMBL423980,323674,Leishmania donovani,uM,9.49
In vitro anti-leishmanial activity against promastigote cultures of Leishmania infantum MON 235,CCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,J Med Chem,2003.0,CHEMBL165221,323666,Leishmania infantum,uM,5.25
In vitro anti-leishmanial activity against promastigote cultures of Leishmania donovani MON 703,CCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,J Med Chem,2003.0,CHEMBL165221,323666,Leishmania donovani,uM,3.91
In vitro anti-leishmanial activity against promastigote cultures of Leishmania infantum MON 235,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2C3CC4CC(C3)CC2C4)CCOCC1,J Med Chem,2003.0,CHEMBL164900,323692,Leishmania infantum,uM,6.64
In vitro anti-leishmanial activity against promastigote cultures of Leishmania donovani MON 703,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2C3CC4CC(C3)CC2C4)CCOCC1,J Med Chem,2003.0,CHEMBL164900,323692,Leishmania donovani,uM,5.09
In vitro anti-leishmanial activity against promastigote cultures of Leishmania infantum MON 235,CCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,J Med Chem,2003.0,CHEMBL165114,323698,Leishmania infantum,uM,3.25
In vitro anti-leishmanial activity against promastigote cultures of Leishmania donovani MON 703,CCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+](C)(C)C)CC1,J Med Chem,2003.0,CHEMBL165114,323698,Leishmania donovani,uM,7.08
In vitro anti-leishmanial activity against promastigote cultures of Leishmania donovani MON 703,C[N+](C)(C)CCOP(=O)([O-])OCCCCC=C1C2CC3CC(C2)CC1C3,J Med Chem,2003.0,CHEMBL435661,323679,Leishmania donovani,uM,4.99
In vitro anti-leishmanial activity against promastigote cultures of Leishmania infantum MON 235,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC1CCCCC1,J Med Chem,2003.0,CHEMBL164709,323672,Leishmania infantum,uM,8.4
In vitro anti-leishmanial activity against promastigote cultures of Leishmania infantum MON 235,CCCCCCCCCCCCCCCC=C1CCC(OCCOP(=O)([O-])OCC[N+]2(C)CCCCC2)CC1,J Med Chem,2003.0,CHEMBL162570,323668,Leishmania infantum,uM,6.5
In vitro anti-leishmanial activity against promastigote cultures of Leishmania donovani MON 703,C[N+]1(CCOP(=O)([O-])OCCCCCCCCCCC=C2CCCCC2)CCOCC1,J Med Chem,2003.0,CHEMBL163962,323680,Leishmania donovani,uM,8.25
In vitro anti-leishmanial activity against promastigote cultures of Leishmania infantum MON 235,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC=C1CCCCC1,J Med Chem,2003.0,CHEMBL165562,323682,Leishmania infantum,uM,5.2
In vitro anti-leishmanial activity against promastigote cultures of Leishmania donovani MON 703,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCC=C1CCCCC1,J Med Chem,2003.0,CHEMBL165562,323682,Leishmania donovani,uM,2.4
In vitro anti-leishmanial activity against promastigote cultures of Leishmania infantum MON 235,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC12CC3CC(CC(C3)C1)C2,J Med Chem,2003.0,CHEMBL163668,323670,Leishmania infantum,uM,5.97
In vitro anti-leishmanial activity against promastigote cultures of Leishmania donovani MON 703,C[N+](C)(C)CCOP(=O)([O-])OCCCCCCCCCCCC12CC3CC(CC(C3)C1)C2,J Med Chem,2003.0,CHEMBL163668,323670,Leishmania donovani,uM,2.88
Compound was evaluated in vitro against Leishmania donovani parasite,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl,J Med Chem,1998.0,CHEMBL144530,282431,Leishmania donovani,uM,1.3
Inhibitory activity against Leishmania mexicana GAPDH,COc1cccc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4ccc(OC)c5ccccc45)ncnc32)c1,J Med Chem,2001.0,CHEMBL62124,113603,Leishmania mexicana,uM,6.0
Inhibitory activity against Leishmania mexicana GAPDH,COc1cccc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4cccc5ccccc45)ncnc32)c1,J Med Chem,2001.0,CHEMBL464924,113605,Leishmania mexicana,uM,6.0
Inhibitory activity against Leishmania mexicana GAPDH,O=C(N[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NCc3cccc4ccccc34)ncnc21)c1cc(O)cc(O)c1,J Med Chem,2001.0,CHEMBL303730,113566,Leishmania mexicana,uM,5.0
Inhibitory activity against Leishmania mexicana GAPDH,COc1cc(OC)cc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4cc(OC)cc5ccccc45)ncnc32)c1,J Med Chem,2001.0,CHEMBL303342,113589,Leishmania mexicana,uM,2.0
Inhibitory activity against Leishmania mexicana GAPDH,COc1ccc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4cccc5ccccc45)ncnc32)cc1OC,J Med Chem,2001.0,CHEMBL303595,113565,Leishmania mexicana,uM,4.0
Inhibitory activity against Leishmania mexicana GAPDH,COc1cccc(C(=O)N[C@@H]2C(Cn3cnc4c(NCc5ccc6ccccc6c5)ncnc43)OC(CO)[C@@H]2O)c1,J Med Chem,2001.0,CHEMBL291418,113587,Leishmania mexicana,uM,2.0
Inhibitory activity against Leishmania mexicana GAPDH,COc1cc(OC)cc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4cc(O)cc5ccccc45)ncnc32)c1,J Med Chem,2001.0,CHEMBL303751,113593,Leishmania mexicana,uM,2.0
Inhibitory activity against Leishmania mexicana GAPDH,COc1cccc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4cc(O)cc5ccccc45)ncnc32)c1,J Med Chem,2001.0,CHEMBL431169,113595,Leishmania mexicana,uM,6.0
Inhibitory activity against Leishmania mexicana GAPDH,COc1cc(OC)cc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4cccc5ccccc45)ncnc32)c1,J Med Chem,2001.0,CHEMBL303934,113569,Leishmania mexicana,uM,2.0
Inhibitory activity against Leishmania mexicana GAPDH,O=C(N[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NCc3cc(O)cc4ccccc34)ncnc21)c1cccc(Cl)c1,J Med Chem,2001.0,CHEMBL303752,113594,Leishmania mexicana,uM,4.0
Inhibitory activity against Leishmania mexicana GAPDH,COc1cccc(C(=O)N[C@@H]2[C@H](O)[C@@H](CO)O[C@H]2n2cnc3c(NCc4cc(OC)cc5ccccc45)ncnc32)c1,J Med Chem,2001.0,CHEMBL63569,113590,Leishmania mexicana,uM,3.0
Inhibitory activity against Leishmania mexicana GAPDH,COc1cc(OC)cc(C(=O)N[C@@H]2C(Cn3cnc4c(NCc5ccc6ccccc6c5)ncnc43)OC(CO)[C@@H]2O)c1,J Med Chem,2001.0,CHEMBL63338,113586,Leishmania mexicana,uM,2.0
Inhibitory activity against Leishmania mexicana GAPDH,O=C(N[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NCc3cccc4ccccc34)ncnc21)c1cccc(Cl)c1,J Med Chem,2001.0,CHEMBL291421,113555,Leishmania mexicana,uM,6.0
Inhibitory concentration against Leishmania donovani axenic amastigotes was determined in vitro,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(OC)c2)cc1[N+](=O)[O-],J Med Chem,2004.0,CHEMBL298774,89747,Leishmania donovani,uM,8.1
Inhibitory concentration against Leishmania donovani axenic amastigotes was determined in vitro,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,J Med Chem,2004.0,CHEMBL55,89751,Leishmania donovani,uM,2.0
Inhibitory concentration against Leishmania donovani axenic amastigotes was determined in vitro,CCCCN(CCCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],J Med Chem,2004.0,CHEMBL55225,89753,Leishmania donovani,uM,2.6
Inhibitory concentration against Leishmania donovani axenic amastigotes was determined in vitro,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccccc2)cc1[N+](=O)[O-],J Med Chem,2004.0,CHEMBL53153,89745,Leishmania donovani,uM,5.0
Inhibitory concentration against Leishmania donovani axenic amastigotes was determined in vitro,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2ccc(Cl)c(Cl)c2)cc1[N+](=O)[O-],J Med Chem,2004.0,CHEMBL51746,89766,Leishmania donovani,uM,5.0
Inhibitory concentration against Leishmania donovani axenic amastigotes was determined in vitro,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cccc(Cl)c2)cc1[N+](=O)[O-],J Med Chem,2004.0,CHEMBL53033,89748,Leishmania donovani,uM,5.5
Inhibitory concentration against Leishmania donovani axenic amastigotes was determined in vitro,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)Nc2cc(Cl)cc(Cl)c2)cc1[N+](=O)[O-],J Med Chem,2004.0,CHEMBL298564,89765,Leishmania donovani,uM,3.7
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL49436,161715,Leishmania major,uM,2.7
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CNc1ccc(Nc2c3ccccc3nc3ccccc23)cc1OC,J Med Chem,1997.0,CHEMBL92157,161691,Leishmania major,uM,3.6
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCN(C)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1OC,J Med Chem,1997.0,CHEMBL89802,161700,Leishmania major,uM,3.0
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCN(C)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL86724,161718,Leishmania major,uM,1.0
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCCNc1ccc(Nc2c3ccc(N(C)C)cc3nc3cc(N(C)C)ccc23)cc1,J Med Chem,1997.0,CHEMBL86823,161701,Leishmania major,uM,0.16
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCCOc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL89758,161705,Leishmania major,uM,1.0
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCCN(C)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL415472,161680,Leishmania major,uM,0.3
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL289352,161692,Leishmania major,uM,2.1
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCNCc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL89683,161711,Leishmania major,uM,2.0
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,c1ccc2c(Nc3ccc(CN4CCCC4)cc3)c3ccccc3nc2c1,J Med Chem,1997.0,CHEMBL91079,161710,Leishmania major,uM,0.2
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCN(CC)CCCc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL89519,161707,Leishmania major,uM,0.3
Tested in vitro for anti-leishmanial activity against Leishmania donovani,C=CCOc1ccccc1C(=O)/C=C/c1ccc(OC)cc1OC,J Med Chem,1998.0,CHEMBL445137,280791,Leishmania donovani,uM,5.0
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CN(C)Cc1ccc(Nc2c3ccc(Cl)cc3nc3cc(Cl)ccc23)cc1,J Med Chem,1997.0,CHEMBL36404,161693,Leishmania major,uM,2.0
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1cc(/C=C/C(=O)c2ccccc2O)cc(OC)c1,J Med Chem,1998.0,CHEMBL144046,280807,Leishmania donovani,uM,3.8
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1cc(/C=C/C(=O)c2ccccc2[N+](=O)[O-])cc(OC)c1,J Med Chem,1998.0,CHEMBL145758,280764,Leishmania donovani,uM,3.4
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccc(N(C)C)cc2nc2cc(N(C)C)ccc12,J Med Chem,1997.0,CHEMBL37615,161712,Leishmania major,uM,3.0
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1ccc(C(=O)/C=C/c2ccccc2O)c(OC)c1OC,J Med Chem,1998.0,CHEMBL145561,280805,Leishmania donovani,uM,9.3
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1ccc(C(=O)/C=C/c2cccc(Oc3ccccc3)c2)c(OC)c1OC,J Med Chem,1998.0,CHEMBL145117,280773,Leishmania donovani,uM,8.7
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1ccc(C(=O)/C=C/c2ccc(C#N)cc2)c(OC)c1OC,J Med Chem,1998.0,CHEMBL145682,280768,Leishmania donovani,uM,8.6
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,NS(=O)(=O)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL295949,161704,Leishmania major,uM,3.0
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1cc(/C=C/C(=O)c2ccccc2N(C)C)cc(OC)c1,J Med Chem,1998.0,CHEMBL358286,280765,Leishmania donovani,uM,7.3
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1ccc(C(=O)/C=C/c2ccccc2[N+](=O)[O-])c(OC)c1OC,J Med Chem,1998.0,CHEMBL142569,280775,Leishmania donovani,uM,5.9
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,Nc1ccc(Nc2c3ccccc3nc3ccccc23)cn1,J Med Chem,1997.0,CHEMBL84678,161720,Leishmania major,uM,3.9
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCCNc1ccc(Nc2c3ccc(Cl)cc3nc3ccc(OC)cc23)cc1OC,J Med Chem,1997.0,CHEMBL89400,161684,Leishmania major,uM,0.5
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1ccc(/C=C/C(=O)c2cccc([N+](=O)[O-])c2)c(OC)c1,J Med Chem,1998.0,CHEMBL145643,280760,Leishmania donovani,uM,8.6
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1cc(/C=C/C(=O)c2cccc(F)c2)cc(OC)c1,J Med Chem,1998.0,CHEMBL146493,280759,Leishmania donovani,uM,5.5
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCCNc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL299581,161687,Leishmania major,uM,0.55
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCCN(C)c1ccc(Nc2c3ccc(Cl)cc3nc3ccc(OC)cc23)cc1,J Med Chem,1997.0,CHEMBL315133,161681,Leishmania major,uM,1.8
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCCN(CCCCC)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL89031,161697,Leishmania major,uM,0.16
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CN(C)Cc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL290441,161695,Leishmania major,uM,1.0
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1cc(/C=C/C(=O)c2cccc(O)c2)cc(OC)c1,J Med Chem,1998.0,CHEMBL144300,280806,Leishmania donovani,uM,3.7
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCN(CCC)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL88980,161699,Leishmania major,uM,0.2
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,CCCCN(CCCC)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1,J Med Chem,1997.0,CHEMBL312941,161698,Leishmania major,uM,0.35
Concentration required to reduce incorporation of [3H]TdR in drug-treated cultures of intracellular Leishmania major to 50% of controls,Nc1ccc2c(Nc3ccc(CN4CCCC4)cc3)c3ccc(N)cc3nc2c1,J Med Chem,1997.0,CHEMBL328232,161709,Leishmania major,uM,3.0
Tested in vitro for anti-leishmanial activity against Leishmania donovani,CCCCCCc1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,J Med Chem,1998.0,CHEMBL145720,280813,Leishmania donovani,uM,9.7
Tested in vitro for anti-leishmanial activity against Leishmania donovani,COc1cc(/C=C/C(=O)c2ccc(OC)c(OC)c2OC)cc(OC)c1,J Med Chem,1998.0,CHEMBL148216,280804,Leishmania donovani,uM,8.3
