cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations
136518786,"N2-(5-cyano-1-ethyl-benzimidazol-2-yl)pyridine-2,5-dicarboxamide",CCN1C2=C(C=C(C=C2)C#N)N=C1NC(=O)C3=NC=C(C=C3)C(=O)N,C17H14N6O2,6,2,4,1.6740799999999998,334.117823688,25,126.69000000000001,0.1973320704080827,0
58190910,N-[4-butanoyl-6-(4-pyridyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CCCC(=O)C1=C2C(=CC(=C1)C3=CC=NC=C3)NC(=N2)NC(=O)C4=CC5=CC=CC=C5C=N4,C26H21N5O2,5,2,6,5.408200000000004,435.16952491200004,33,100.63000000000001,0.32793401570108316,1
58190895,"N-[6-[2-(1,3-benzothiazol-2-yl)acetyl]-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide",C1=CC=C2C=NC(=CC2=C1)C(=O)NC3=NC4=C(N3)C=C(C=C4)C(=O)CC5=NC6=CC=CC=C6S5,C26H17N5O2S,6,2,5,5.398500000000003,463.1102957840001,34,100.63000000000001,0.3378714101162675,1
58724476,N-[4-[(4-methylsulfonylphenyl)methylcarbamoyl]-6-(4-pyridyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CS(=O)(=O)C1=CC=C(C=C1)CNC(=O)C2=C3C(=CC(=C2)C4=CC=NC=C4)NC(=N3)NC(=O)C5=CC6=CC=CC=C6C=N5,C31H24N6O4S,7,3,7,4.758900000000003,576.1579742480001,42,146.8,0.2861035422343324,1
58724462,methyl 2-(isoquinoline-3-carbonylamino)-6-(4-pyridyl)-1H-benzimidazole-4-carboxylate,COC(=O)C1=C2C(=CC(=C1)C3=CC=NC=C3)NC(=N2)NC(=O)C4=CC5=CC=CC=C5C=N4,C24H17N5O3,6,2,4,4.2120000000000015,423.133139404,32,109.86,0.2912798106681231,0
172439415,"N-[6-cyano-1-(2,2,2-trifluoroethyl)benzimidazol-2-yl]-3,5-difluoro-pyridine-2-carboxamide",C1=CC2=C(C=C1C#N)N(C(=N2)NC(=O)C3=C(C=C(C=N3)F)F)CC(F)(F)F,C16H8F5N5O,5,1,3,3.395780000000001,381.064900976,27,83.60000000000001,0.32296650717703346,0
174577126,"N-(5,6-dimethyl-1H-benzimidazol-2-yl)pyridine-2-carboxamide",CC1=CC2=C(C=C1C)N=C(N2)NC(=O)C3=CC=CC=N3,C15H14N4O,3,2,2,2.82704,266.116761068,20,70.67,0.28300551860761286,0
155517625,tert-butyl N-[4-[5-carbamoyl-7-methoxy-2-(pyridine-2-carbonylamino)benzimidazol-1-yl]butyl]carbamate,CC(C)(C)OC(=O)NCCCCN1C2=C(C=C(C=C2OC)C(=O)N)N=C1NC(=O)C3=CC=CC=N3,C24H30N6O5,8,3,9,3.096,482.2277680600001,35,150.45999999999998,0.23261996543931945,0
58190696,N-[6-(2-thiazol-2-ylacetyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,C1=CC=C2C=NC(=CC2=C1)C(=O)NC3=NC4=C(N3)C=C(C=C4)C(=O)CC5=NC=CS5,C22H15N5O2S,6,2,5,4.245300000000002,413.0946457200001,30,100.63000000000001,0.29812183245553014,0
66940374,methyl 2-(isoquinoline-3-carbonylamino)-3H-benzimidazole-5-carboxylate,COC(=O)C1=CC2=C(C=C1)N=C(N2)NC(=O)C3=CC4=CC=CC=C4C=N3,C19H14N4O3,5,2,3,3.1500000000000012,346.106590308,26,96.96999999999998,0.26812416211199347,0
58026459,N-[4-[(4-methylsulfonylphenyl)methylcarbamoyl]-6-(trifluoromethyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CS(=O)(=O)C1=CC=C(C=C1)CNC(=O)C2=C3C(=CC(=C2)C(F)(F)F)NC(=N3)NC(=O)C4=CC5=CC=CC=C5C=N4,C27H20F3N5O4S,6,3,6,4.715700000000003,567.11880978,40,133.91000000000003,0.2987080875214696,1
170267411,6-(2-formyl-3-hydroxy-phenoxy)-N-[1-(2-hydroxy-2-methyl-propyl)-6-[(4-methylpiperazin-1-yl)methyl]benzimidazol-2-yl]pyridine-2-carboxamide,CC(C)(CN1C2=C(C=CC(=C2)CN3CCN(CC3)C)N=C1NC(=O)C4=NC(=CC=C4)OC5=CC=CC(=C5C=O)O)O,C30H34N6O5,10,3,9,3.5123000000000033,558.259068188,41,133.05,0.30815482901164976,1
132971696,"N-(5-cyano-1-ethyl-benzimidazol-2-yl)-5,6,7,8-tetrahydroquinoline-2-carboxamide",CCN1C2=C(C=C(C=C2)C#N)N=C1NC(=O)C3=NC4=C(CCCC4)C=C3,C20H19N5O,5,1,3,3.4539800000000023,345.158960228,26,83.60000000000001,0.3110047846889952,0
99784040,6-chloro-N-(6-cyano-1-methyl-benzimidazol-2-yl)pyridine-2-carboxamide,CN1C2=C(C=CC(=C2)C#N)N=C1NC(=O)C3=NC(=CC=C3)Cl,C15H10ClN5O,5,1,2,2.745680000000001,311.05738762,22,83.60000000000001,0.2631578947368421,0
58724501,N-[6-isopropyl-4-[(4-methylsulfonylphenyl)methylcarbamoyl]-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CC(C)C1=CC(=C2C(=C1)NC(=N2)NC(=O)C3=CC4=CC=CC=C4C=N3)C(=O)NCC5=CC=C(C=C5)S(=O)(=O)C,C29H27N5O4S,6,3,7,4.820300000000003,541.178375344,39,133.91,0.2912403853334329,1
148328200,N-[6-(3H-indol-2-ylcarbamoyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,C1C2=CC=CC=C2N=C1NC(=O)C3=CC4=C(C=C3)N=C(N4)NC(=O)C5=CC6=CC=CC=C6C=N5,C26H18N6O2,5,3,3,4.379500000000002,446.14912381600004,34,112.13000000000001,0.3032194773923125,0
66940584,2-(isoquinoline-3-carbonylamino)-6-(trifluoromethyl)-1H-benzimidazole-4-carboxylic acid,C1=CC=C2C=NC(=CC2=C1)C(=O)NC3=NC4=C(C=C(C=C4N3)C(F)(F)F)C(=O)O,C19H11F3N4O3,4,3,3,4.080400000000001,400.078324872,29,107.97000000000001,0.2685931277206631,0
66940341,6-cyano-2-(isoquinoline-3-carbonylamino)-1H-benzimidazole-4-carboxylic acid,C1=CC=C2C=NC(=CC2=C1)C(=O)NC3=NC4=C(C=C(C=C4N3)C#N)C(=O)O,C19H11N5O3,5,3,3,2.93328,357.086189212,27,131.76,0.20491803278688525,0
137921158,N-(5-cyano-1-ethyl-benzimidazol-2-yl)pyridine-2-carboxamide,CCN1C2=C(C=C(C=C2)C#N)N=C1NC(=O)C3=CC=CC=N3,C16H13N5O,5,1,3,2.5751800000000005,291.1120100360001,22,83.60000000000001,0.2631578947368421,0
171447188,"3-[(E)-4-[5-carbamoyl-7-(3-morpholinopropoxy)-2-(pyridine-2-carbonylamino)benzimidazol-1-yl]but-2-enyl]-2-(pyridine-2-carbonylamino)imidazo[4,5-b]pyridine-6-carboxamide",C1COCCN1CCCOC2=CC(=CC3=C2N(C(=N3)NC(=O)C4=CC=CC=N4)CC=CCN5C6=C(C=C(C=N6)C(=O)N)N=C5NC(=O)C7=CC=CC=N7)C(=O)N,C38H38N12O6,14,4,15,2.6309000000000005,758.303726936,56,240.39000000000001,0.23295478181288737,2
58026590,"N-[6-(1,3-benzothiazol-2-ylcarbamoyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide",C1=CC=C2C=NC(=CC2=C1)C(=O)NC3=NC4=C(N3)C=C(C=C4)C(=O)NC5=NC6=CC=CC=C6S5,C25H16N6O2S,6,3,4,5.225400000000001,464.105544752,34,112.66000000000001,0.3017930055032842,1
58026451,N-[4-(ethylcarbamoyl)-6-(4-pyridyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CCNC(=O)C1=C2C(=CC(=C1)C3=CC=NC=C3)NC(=N2)NC(=O)C4=CC5=CC=CC=C5C=N4,C25H20N6O2,5,3,5,4.175100000000001,436.16477388,33,112.66000000000001,0.2929167406355405,0
166454308,methyl 6-[[1-[5-(tert-butoxycarbonylamino)pentyl]-5-(hydroxymethyl)benzimidazol-2-yl]carbamoyl]pyridine-2-carboxylate,CC(C)(C)OC(=O)NCCCCCN1C2=C(C=C(C=C2)CO)N=C1NC(=O)C3=NC(=CC=C3)C(=O)OC,C26H33N5O6,9,3,10,3.6575000000000024,511.243083776,37,144.67,0.2557544757033248,1
141279216,N-[6-(3-chloro-5-fluoro-phenyl)-1H-benzimidazol-2-yl]pyridine-2-carboxamide,C1=CC=NC(=C1)C(=O)NC2=NC3=C(N2)C=C(C=C3)C4=CC(=CC(=C4)Cl)F,C19H12ClFN4O,3,2,3,4.6697000000000015,366.068366904,26,70.67,0.3679071741898967,0
58190884,N-[6-methyl-4-[2-(3H-pyrrol-2-yl)acetyl]-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CC1=CC(=C2C(=C1)NC(=N2)NC(=O)C3=CC4=CC=CC=C4C=N3)C(=O)CC5=NC=CC5,C24H19N5O2,5,2,5,4.6030200000000026,409.15387484800004,31,100.10000000000001,0.30969030969030964,0
58190737,N-[6-(2-oxo-3-phenyl-propyl)-4-[2-(3H-pyrrol-2-yl)acetyl]-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,C1C=CN=C1CC(=O)C2=C3C(=CC(=C2)CC(=O)CC4=CC=CC=C4)NC(=N3)NC(=O)C5=CC6=CC=CC=C6C=N5,C32H25N5O3,6,2,9,5.648900000000004,527.1957396600001,40,117.17,0.34138431339079967,2
