cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations
9636248,N-[(E)-benzylideneamino]-2-[1-[(4-chlorophenyl)methyl]benzimidazol-2-yl]sulfanyl-acetamide,C1=CC=C(C=C1)C=NNC(=O)CSC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl,C23H19ClN4OS,5,1,7,4.980400000000004,434.096809908,30,59.28,0.5060728744939271,0
4523172,2-[1-[(4-chlorophenyl)methyl]benzimidazol-2-yl]sulfanyl-N-[(4-chlorophenyl)methyleneamino]acetamide,C1=CC=C2C(=C1)N=C(N2CC3=CC=C(C=C3)Cl)SCC(=O)NN=CC4=CC=C(C=C4)Cl,C23H18Cl2N4OS,5,1,7,5.6338000000000035,468.05783755600004,31,59.28,0.5229419703103914,1
76321420,"N-(2-chloro-4-sulfamoyl-phenyl)-2-[1-[(3,5-dimethylphenyl)methyl]benzimidazol-2-yl]sulfanyl-acetamide",CC1=CC(=CC(=C1)CN2C3=CC=CC=C3N=C2SCC(=O)NC4=C(C=C(C=C4)S(=O)(=O)N)Cl)C,C24H23ClN4O3S2,6,2,7,4.7330400000000035,514.0900102759999,34,107.08,0.3175196115054165,1
9617858,N-[(E)-(3-hydroxyphenyl)methyleneamino]-2-[1-(p-tolylmethyl)benzimidazol-2-yl]sulfanyl-acetamide,CC1=CC=C(C=C1)CN2C3=CC=CC=C3N=C2SCC(=O)NN=CC4=CC(=CC=C4)O,C24H22N4O2S,6,2,7,4.341020000000004,430.14634694399996,31,79.51,0.38988806439441576,0
46347525,N-(p-tolyl)-2-[1-(3-pyridylmethyl)benzimidazol-2-yl]sulfanyl-acetamide,CC1=CC=C(C=C1)NC(=O)CSC2=NC3=CC=CC=C3N2CC4=CN=CC=C4,C22H20N4OS,5,1,6,4.518820000000003,388.13578226000004,28,59.81,0.46814913893997656,0
9537561,2-[1-[(4-chlorophenyl)methyl]benzimidazol-2-yl]sulfanyl-N-[(E)-(2-fluorophenyl)methyleneamino]acetamide,C1=CC=C(C(=C1)C=NNC(=O)CSC2=NC3=CC=CC=C3N2CC4=CC=C(C=C4)Cl)F,C23H18ClFN4OS,5,1,7,5.119500000000003,452.087388096,31,59.28,0.5229419703103914,1
76310486,"methyl 3-chloro-4-[[2-[6-chloro-1-[(3,5-dimethylphenyl)methyl]benzimidazol-2-yl]sulfanylacetyl]amino]benzoate",CC1=CC(=CC(=C1)CN2C3=C(C=CC(=C3)Cl)N=C2SCC(=O)NC4=C(C=C(C=C4)C(=O)OC)Cl)C,C26H23Cl2N3O3S,6,1,7,6.5256400000000045,527.083717956,35,73.22,0.47801147227533464,2
9638289,N-[(E)-(2-fluorophenyl)methyleneamino]-2-[1-(p-tolylmethyl)benzimidazol-2-yl]sulfanyl-acetamide,CC1=CC=C(C=C1)CN2C3=CC=CC=C3N=C2SCC(=O)NN=CC4=CC=CC=C4F,C24H21FN4OS,5,1,7,4.774520000000003,432.142010512,31,59.28,0.5229419703103914,0
9675714,2-[1-[(4-chlorophenyl)methyl]benzimidazol-2-yl]sulfanyl-N-[(E)-4-pyridylmethyleneamino]acetamide,C1=CC=C2C(=C1)N=C(N2CC3=CC=C(C=C3)Cl)SCC(=O)NN=CC4=CC=NC=C4,C22H18ClN5OS,6,1,7,4.375400000000003,435.09205887600007,30,72.17,0.4156851877511431,0
76332262,"2-[6-chloro-1-[(3,5-dimethylphenyl)methyl]benzimidazol-2-yl]sulfanyl-N-(2-chloro-4-sulfamoyl-phenyl)acetamide",CC1=CC(=CC(=C1)CN2C3=C(C=CC(=C3)Cl)N=C2SCC(=O)NC4=C(C=C(C=C4)S(=O)(=O)N)Cl)C,C24H22Cl2N4O3S2,6,2,7,5.386440000000004,548.0510379240001,35,107.08,0.326858423608517,2
