cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations
71731010,2-[4-(3-pyridyl)phenyl]-6-(trifluoromethyl)-1H-benzimidazole,C1=CC(=CN=C1)C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)C(F)(F)F,C19H12F3N3,2,1,2,5.310700000000002,339.098332044,25,41.57,0.6013952369497233,1
52944705,2-[4-(2-fluorophenyl)phenyl]-6-methylsulfanyl-1H-benzimidazole,CSC1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC=CC=C4F,C20H15FN2S,2,1,3,5.757900000000004,334.0939977,24,28.68,0.8368200836820083,1
44433681,"2-(4-pyrrolidin-1-ylphenyl)-1H-imidazo[4,5-b]pyridine",C1CCN(C1)C2=CC=C(C=C2)C3=NC4=C(N3)C=CC=N4,C16H16N4,3,1,2,3.225100000000001,264.137496512,20,44.81,0.4463289444320464,0
44465473,"2-[4-(2-fluorophenyl)phenyl]-N,N-dimethyl-3H-benzimidazole-5-sulfonamide",CN(C)S(=O)(=O)C1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC=CC=C4F,C21H18FN3O2S,3,1,4,4.286300000000003,395.110376036,28,66.06,0.4238570996064184,0
52945533,2-[4-(2-chlorophenyl)phenyl]-6-methylsulfonyl-1H-benzimidazole,CS(=O)(=O)C1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC=CC=C4Cl,C20H15ClN2O2S,3,1,3,4.953800000000003,382.05427640000005,26,62.82,0.413880929640242,0
129855874,3-[4-(4-chloro-5-fluoro-1H-benzimidazol-2-yl)phenyl]thiazolidin-4-one,C1C(=O)N(CS1)C2=CC=C(C=C2)C3=NC4=C(N3)C=CC(=C4Cl)F,C16H11ClFN3OS,3,1,2,4.059700000000001,347.029538872,23,48.99,0.4694835680751174,0
44464942,6-methylsulfonyl-2-(4-phenylphenyl)-1H-benzimidazole,CS(=O)(=O)C1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC=CC=C4,C20H16N2O2S,3,1,3,4.300400000000002,348.093248752,25,62.82,0.3979624323463865,0
52941877,2-[4-(2-fluorophenyl)phenyl]-3H-benzimidazole-5-sulfonamide,C1=CC=C(C(=C1)C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)S(=O)(=O)N)F,C19H14FN3O2S,3,2,3,3.6834000000000016,367.07907590799994,26,88.84,0.2926609635299415,0
52949620,2-[4-(2-fluorophenyl)phenyl]-6-methylsulfinyl-1H-benzimidazole,CS(=O)C1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC=CC=C4F,C20H15FN2OS,2,1,3,4.773400000000003,350.08891232,25,45.75,0.546448087431694,0
162661835,2-[4-(1-methylpyrazol-4-yl)phenyl]-6-(trifluoromethyl)-1H-benzimidazole,CN1C=C(C=N1)C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)C(F)(F)F,C18H13F3N4,3,1,2,4.649200000000002,342.109231076,25,46.5,0.5376344086021505,0
164611988,2-[2-(9H-fluoren-2-yl)-3H-benzimidazol-5-yl]guanidine,C1C2=CC=CC=C2C3=C1C=C(C=C3)C4=NC5=C(N4)C=C(C=C5)N=C(N)N,C21H17N5,2,3,2,3.7060000000000004,339.1483955440001,26,93.08,0.27932960893854747,0
44247738,2-[4-(2-fluorophenyl)phenyl]-6-methylsulfonyl-1H-benzimidazole,CS(=O)(=O)C1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC=CC=C4F,C20H15FN2O2S,3,1,3,4.4395000000000024,366.08382694000005,26,62.82,0.413880929640242,0
52940686,6-tert-butyl-2-[4-(2-fluorophenyl)phenyl]-1H-benzimidazole,CC(C)(C)C1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC=CC=C4F,C23H21FN2,1,1,2,6.333500000000004,344.168876892,26,28.68,0.9065550906555091,1
162652705,6-(trifluoromethyl)-2-[4-[5-(trifluoromethyl)-1H-pyrazol-4-yl]phenyl]-1H-benzimidazole,C1=CC(=CC=C1C2=C(NN=C2)C(F)(F)F)C3=NC4=C(N3)C=C(C=C4)C(F)(F)F,C18H10F6N4,2,2,2,5.657600000000002,396.08096564,28,57.36,0.4881450488145049,1
164627119,2-[2-(4-cyanophenyl)-3H-benzimidazol-5-yl]guanidine,C1=CC(=CC=C1C#N)C2=NC3=C(N2)C=C(C=C3)N=C(N)N,C15H12N6,3,3,2,2.00648,276.112344384,21,116.86999999999999,0.17968683152220416,0
138648971,1-[2-[4-[4-(6-guanidino-1H-benzimidazol-2-yl)phenyl]phenyl]-3H-benzimidazol-5-yl]guanidine,C1=CC(=CC=C1C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)NC(=N)N)C5=NC6=C(N5)C=C(C=C6)NC(=N)N,C28H24N10,4,8,5,5.0509400000000015,500.2185407680002,38,181.16,0.20975932877014794,3
53498342,2-(4-pyrrolidin-1-ylphenyl)-3H-benzimidazole-5-sulfonamide,C1CCN(C1)C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)S(=O)(=O)N,C17H18N4O2S,4,2,3,2.4774999999999996,342.11504681599996,24,92.08,0.26064291920069504,0
85997853,2-[3-fluoro-4-(trifluoromethyl)phenyl]-6-methyl-1H-benzimidazole,CC1=CC2=C(C=C1)N=C(N2)C3=CC(=C(C=C3)C(F)(F)F)F,C15H10F4N2,1,1,1,4.696220000000001,294.0780112,21,28.68,0.7322175732217573,0
57545640,2-(4-phenylphenyl)-6-(trifluoromethyl)-1H-benzimidazole,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)C(F)(F)F,C20H13F3N2,1,1,2,5.915700000000004,338.103083076,25,28.68,0.8716875871687587,1
74221280,2-[(E)-1-[2-(4-cyclohexylphenyl)-4-methyl-thiazol-5-yl]ethylideneamino]guanidine,CC1=C(SC(=N1)C2=CC=C(C=C2)C3CCCCC3)C(=NN=C(N)N)C,C19H25N5S,4,2,4,4.1636200000000025,355.1830668000001,25,89.64999999999999,0.2788622420524261,0
157844996,"6-(4,6-diphenylpyrimidin-2-yl)-3-phenyl-2-(2-phenylphenyl)imidazo[4,5-c]carbazole;6-(4,6-diphenylpyrimidin-2-yl)-3-phenyl-2-(3-phenylphenyl)imidazo[4,5-c]carbazole;6-(4,6-diphenylpyrimidin-2-yl)-3-phenyl-2-(4-phenylphenyl)imidazo[4,5-c]carbazole",C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC4=C(N3C5=CC=CC=C5)C=CC6=C4C7=CC=CC=C7N6C8=NC(=CC(=N8)C9=CC=CC=C9)C1=CC=CC=C1.C1=CC=C(C=C1)C2=CC(=CC=C2)C3=NC4=C(N3C5=CC=CC=C5)C=CC6=C4C7=CC=CC=C7N6C8=NC(=CC(=N8)C9=CC=CC=C9)C1=CC=CC=C1.C1=CC=C(C=C1)C2=CC=CC=C2C3=NC4=C(N3C5=CC=CC=C5)C=CC6=C4C7=CC=CC=C7N6C8=NC(=CC(=N8)C9=CC=CC=C9)C1=CC=CC=C1,C141H93N15,15,0,18,34.74180000000005,1995.7738379759999,156,145.58999999999997,1.0715021636101383,3
166436130,"5-[4-(6-methyl-1H-benzimidazol-2-yl)phenyl]-3H-1,3,4-oxadiazole-2-thione",CC1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=NNC(=S)O4,C16H12N4OS,4,2,2,4.250910000000002,308.073182004,22,70.5,0.3120567375886525,0
17445816,2-(6-pyrrolidin-1-yl-3-pyridyl)-1H-benzimidazole,C1CCN(C1)C2=NC=C(C=C2)C3=NC4=CC=CC=C4N3,C16H16N4,3,1,2,3.225100000000001,264.137496512,20,44.81,0.4463289444320464,0
137552905,2-(4-oxazol-5-ylphenyl)-3H-benzimidazole-5-carbonitrile,C1=CC(=CC=C1C2=CN=CO2)C3=NC4=C(N3)C=C(C=C4)C#N,C17H10N4O,4,1,2,3.7565800000000014,286.08546094,22,78.5,0.2802547770700637,0
52945516,2-[4-(2-fluorophenyl)phenyl]-3H-benzimidazole-5-carbonitrile,C1=CC=C(C(=C1)C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)C#N)F,C20H12FN3,2,1,2,4.907680000000003,313.101525604,24,52.47,0.4574042309891367,0
17325487,2-[4-(1-piperidyl)phenyl]-1H-benzimidazole,C1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4N3,C18H19N3,2,1,2,4.220200000000003,277.15789760800004,21,31.92,0.6578947368421052,0
173805280,"tert-butyl N-[[[2-[4-[4-[6-[[N,N'-bis(tert-butoxycarbonyl)carbamimidoyl]amino]-1H-benzimidazol-2-yl]phenyl]phenyl]-3H-benzimidazol-5-yl]amino]-(tert-butoxycarbonylamino)methylene]carbamate",CC(C)(C)OC(=O)NC(=NC(=O)OC(C)(C)C)NC1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=NC6=C(N5)C=C(C=C6)NC(=NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,C48H56N10O8,10,6,5,10.895599999999991,900.428258752,66,235.39999999999995,0.280373831775701,3
52944085,6-methylsulfonyl-2-[4-(o-tolyl)phenyl]-1H-benzimidazole,CC1=CC=CC=C1C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)S(=O)(=O)C,C21H18N2O2S,3,1,3,4.608820000000004,362.1088988159999,26,62.82,0.413880929640242,0
162660104,2-[4-(3-furyl)phenyl]-6-(trifluoromethyl)-1H-benzimidazole,C1=CC(=CC=C1C2=COC=C2)C3=NC4=C(N3)C=C(C=C4)C(F)(F)F,C18H11F3N2O,2,1,2,5.508700000000003,328.082347632,24,41.82,0.5738880918220947,1
44465469,2-[4-(3-chlorophenyl)phenyl]-6-methylsulfonyl-1H-benzimidazole,CS(=O)(=O)C1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC(=CC=C4)Cl,C20H15ClN2O2S,3,1,3,4.953800000000003,382.05427640000005,26,62.82,0.413880929640242,0
164613995,2-[2-(4-benzyloxyphenyl)-3H-benzimidazol-5-yl]guanidine,C1=CC=C(C=C1)COC2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)N=C(N)N,C21H19N5O,3,3,5,3.713800000000001,357.15896022800007,27,102.30999999999999,0.2639038217183071,0
129883878,2-[4-(4-methyl-1-piperidyl)phenyl]-1H-benzimidazole,CC1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4N3,C19H21N3,2,1,2,4.466200000000003,291.17354767200004,22,31.92,0.6892230576441103,0
