cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations
15991532,N-[3-(1H-benzimidazol-2-yl)phenyl]-4-propoxy-benzamide,CCCOC1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=NC4=CC=CC=C4N3,C23H21N3O2,3,2,6,5.271000000000004,371.16337691200005,28,67.00999999999999,0.4178480823757649,1
24127131,N-[3-(1H-benzimidazol-2-yl)phenyl]-3-chloro-4-methoxy-benzamide,COC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=NC4=CC=CC=C4N3)Cl,C21H16ClN3O2,3,2,4,5.144200000000003,377.093104432,27,67.00999999999999,0.4029249365766304,1
72949706,N-[3-(1H-benzimidazol-2-yl)phenyl]-2-methyl-4-[4-(trifluoromethyl)phenyl]benzamide,CC1=C(C=CC(=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=CC=CC(=C3)C4=NC5=CC=CC=C5N4,C28H20F3N3O,2,2,4,7.476420000000003,471.15584692000004,35,57.78,0.6057459328487366,1
4987148,N-[3-(1H-benzimidazol-2-yl)phenyl]-3-methoxy-naphthalene-2-carboxamide,COC1=CC2=CC=CC=C2C=C1C(=O)NC3=CC=CC(=C3)C4=NC5=CC=CC=C5N4,C25H19N3O2,3,2,4,5.644000000000004,393.1477268480001,30,67.00999999999999,0.4476943739740338,1
3125070,N-[3-(1H-benzimidazol-2-yl)-4-chloro-phenyl]-4-phenyl-benzamide,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=CC(=C(C=C3)Cl)C4=NC5=CC=CC=C5N4,C26H18ClN3O,2,2,4,6.8026000000000035,423.11383987600004,31,57.78,0.5365178262374524,1
72949525,N-[3-(1H-benzimidazol-2-yl)-4-chloro-phenyl]-2-fluoro-4-[4-(trifluoromethyl)phenyl]benzamide,C1=CC=C2C(=C1)NC(=N2)C3=C(C=CC(=C3)NC(=O)C4=C(C=C(C=C4)C5=CC=C(C=C5)C(F)(F)F)F)Cl,C27H16ClF4N3O,2,2,4,7.960500000000004,509.091802692,36,57.78,0.6230529595015576,2
72949347,2-amino-N-[3-(1H-benzimidazol-2-yl)-4-chloro-phenyl]-4-[4-(trifluoromethyl)phenyl]benzamide,C1=CC=C2C(=C1)NC(=N2)C3=C(C=CC(=C3)NC(=O)C4=C(C=C(C=C4)C5=CC=C(C=C5)C(F)(F)F)N)Cl,C27H18ClF3N4O,3,3,4,7.403600000000004,506.112123536,36,83.8,0.42959427207637235,2
90031745,N-[3-(1H-benzimidazol-2-yl)-4-methyl-phenyl]-2-methyl-4-[4-(trifluoromethyl)phenyl]benzamide,CC1=C(C=C(C=C1)NC(=O)C2=C(C=C(C=C2)C3=CC=C(C=C3)C(F)(F)F)C)C4=NC5=CC=CC=C5N4,C29H22F3N3O,2,2,4,7.784840000000004,485.17149698400004,36,57.78,0.6230529595015576,1
72949348,"3-[3-(1H-benzimidazol-2-yl)-4-chloro-phenyl]-7-[4-(trifluoromethyl)phenyl]-1H-quinazoline-2,4-dione",C1=CC=C2C(=C1)NC(=N2)C3=C(C=CC(=C3)N4C(=O)C5=C(C=C(C=C5)C6=CC=C(C=C6)C(F)(F)F)NC4=O)Cl,C28H16ClF3N4O2,4,2,3,6.561500000000004,532.091388092,38,83.53999999999999,0.45487191764424234,2
159168432,"5-[2-[4-hydroxy-3-(5-methyl-1H-benzimidazol-2-yl)phenyl]-1,3-dioxo-isoindolin-5-yl]-2-methyl-isoindoline-1,3-dione",CC1=CC2=C(C=C1)NC(=N2)C3=C(C=CC(=C3)N4C(=O)C5=C(C4=O)C=C(C=C5)C6=CC7=C(C=C6)C(=O)N(C7=O)C)O,C31H20N4O5,6,2,3,4.937320000000006,528.1433697399999,40,123.67,0.32344141667340504,1
