cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations
172418928,N-[(E)-(5-nitro-2-furyl)methyleneamino]-1H-benzimidazole-2-carboxamide,C1=CC=C2C(=C1)NC(=N2)C(=O)NN=CC3=CC=C(O3)[N+](=O)[O-],C13H9N5O4,6,2,4,1.8279999999999996,299.065453768,22,126.42000000000002,0.17402309761113746,0
145976605,N-[(E)-(4-hydroxyphenyl)methyleneamino]-1H-benzimidazole-2-carboxamide,C1=CC=C2C(=C1)NC(=N2)C(=O)NN=CC3=CC=C(C=C3)O,C15H12N4O2,4,3,3,2.0324000000000004,280.096025624,21,90.37,0.23237800154918667,0
13702504,N-[(E)-(4-chlorophenyl)methyleneamino]-1H-benzimidazole-2-carboxamide,C1=CC=C2C(=C1)NC(=N2)C(=O)NN=CC3=CC=C(C=C3)Cl,C15H11ClN4O,3,2,3,2.980200000000001,298.062138652,21,70.14,0.2994011976047904,0
145976692,"N-[(E)-(3,4-diethoxyphenyl)methyleneamino]-1H-benzimidazole-2-carboxamide",CCOC1=C(C=C(C=C1)C=NNC(=O)C2=NC3=CC=CC=C3N2)OCC,C19H20N4O3,5,2,7,3.124200000000001,352.15354049999996,26,88.60000000000001,0.2934537246049661,0
145976377,N-[(E)-p-tolylmethyleneamino]-1H-benzimidazole-2-carboxamide,CC1=CC=C(C=C1)C=NNC(=O)C2=NC3=CC=CC=C3N2,C16H14N4O,3,2,3,2.6352200000000003,278.116761068,21,70.14,0.2994011976047904,0
137634237,2-methyl-N-[(E)-(5-nitro-2-furyl)methyleneamino]-3H-benzimidazole-5-carboxamide,CC1=NC2=C(N1)C=C(C=C2)C(=O)NN=CC3=CC=C(O3)[N+](=O)[O-],C14H11N5O4,6,2,4,2.13642,313.081103832,23,126.42000000000002,0.18193323841164372,0
156013967,N-[(E)-2-naphthylmethyleneamino]-1H-benzimidazole-2-carboxamide,C1=CC=C2C=C(C=CC2=C1)C=NNC(=O)C3=NC4=CC=CC=C4N3,C19H14N4O,3,2,3,3.4800000000000004,314.116761068,24,70.14,0.3421727972626176,0
13702506,N-[(E)-(4-methoxyphenyl)methyleneamino]-1H-benzimidazole-2-carboxamide,COC1=CC=C(C=C1)C=NNC(=O)C2=NC3=CC=CC=C3N2,C16H14N4O2,4,2,4,2.3354,294.111675688,22,79.37,0.2771828146654907,0
556668,"2-(1H-benzimidazol-2-yl)-5-(5-nitro-2-furyl)penta-2,4-dienenitrile",C1=CC=C2C(=C1)NC(=N2)C(=CC=CC3=CC=C(O3)[N+](=O)[O-])C#N,C16H10N4O3,5,1,4,3.6844800000000015,306.07529018,23,108.75,0.21149425287356322,0
690682,N-(2-phenylethyl)-1H-benzimidazole-2-carboxamide,C1=CC=C(C=C1)CCNC(=O)C2=NC3=CC=CC=C3N2,C16H15N3O,2,2,4,2.5354,265.1215121,20,57.78,0.3461405330564209,0
156013591,N-[(E)-(3-chlorophenyl)methyleneamino]-1H-benzimidazole-2-carboxamide,C1=CC=C2C(=C1)NC(=N2)C(=O)NN=CC3=CC(=CC=C3)Cl,C15H11ClN4O,3,2,3,2.980200000000001,298.062138652,21,70.14,0.2994011976047904,0
972375,"(2E,4E)-2-(1H-benzimidazol-2-yl)-5-(3-nitrophenyl)penta-2,4-dienenitrile",C1=CC=C2C(=C1)NC(=N2)C(=CC=CC3=CC(=CC=C3)[N+](=O)[O-])C#N,C18H12N4O2,4,1,4,4.0914800000000024,316.096025624,24,95.60999999999999,0.2510197678067148,0
13702503,N-[(E)-benzylideneamino]-1H-benzimidazole-2-carboxamide,C1=CC=C(C=C1)C=NNC(=O)C2=NC3=CC=CC=C3N2,C15H12N4O,3,2,3,2.3267999999999995,264.101111004,20,70.14,0.285143997718848,0
156012449,N-[(E)-(3-fluorophenyl)methyleneamino]-1H-benzimidazole-2-carboxamide,C1=CC=C2C(=C1)NC(=N2)C(=O)NN=CC3=CC(=CC=C3)F,C15H11FN4O,3,2,3,2.4659000000000004,282.09168919200005,21,70.14,0.2994011976047904,0
156019801,N-[(E)-(4-cyanophenyl)methyleneamino]-1H-benzimidazole-2-carboxamide,C1=CC=C2C(=C1)NC(=N2)C(=O)NN=CC3=CC=C(C=C3)C#N,C16H11N5O,4,2,3,2.19848,289.0963599720001,22,93.93,0.23421697008410516,0
156012775,N-[(E)-(4-fluorophenyl)methyleneamino]-1H-benzimidazole-2-carboxamide,C1=CC=C2C(=C1)NC(=N2)C(=O)NN=CC3=CC=C(C=C3)F,C15H11FN4O,3,2,3,2.4659000000000004,282.09168919200005,21,70.14,0.2994011976047904,0
790172,"(2E,4E)-2-(1H-benzimidazol-2-yl)-5-(5-nitro-2-furyl)penta-2,4-dienenitrile",C1=CC=C2C(=C1)NC(=N2)C(=CC=CC3=CC=C(O3)[N+](=O)[O-])C#N,C16H10N4O3,5,1,4,3.6844800000000015,306.07529018,23,108.75,0.21149425287356322,0
