cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,actividad_predicha,probabilidad_leishmania,tanimoto_similarity,cosine_similarity,combined_75
14592776,6-chloro-2-(5-nitro-2-thienyl)-1H-benzimidazole,C1=CC2=C(C=C1Cl)NC(=N2)C3=CC=C(S3)[N+](=O)[O-],C11H6ClN3O2S,4,1,2,3.8530000000000006,278.98692511199994,18,71.82,0.2506265664160401,0,Alta,0.93,0.3220338983050847,0.9751121627896512,0.8118425966685097
14592772,2-(5-nitro-2-thienyl)-1H-benzimidazole,C1=CC=C2C(=C1)NC(=N2)C3=CC=C(S3)[N+](=O)[O-],C11H7N3O2S,4,1,2,3.199600000000001,245.025897464,17,71.82,0.2367028682818156,0,Alta,0.928,0.3454545454545454,0.9927618441500436,0.8309350194761691
14592774,2-(5-nitro-2-thienyl)-6-(trifluoromethyl)-1H-benzimidazole,C1=CC2=C(C=C1C(F)(F)F)NC(=N2)C3=CC=C(S3)[N+](=O)[O-],C12H6F3N3O2S,4,1,2,4.218400000000001,313.01328209199994,21,71.82,0.2923976608187135,0,Alta,0.926,0.3064516129032258,0.9567462792791588,0.7941726126851756
924717,2-(4-methoxyphenyl)-6-methyl-1H-benzimidazole,CC1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)OC,C15H14N2O,2,1,2,3.546920000000002,238.110613068,18,37.91,0.474808757583751,0,Alta,0.924,0.3333333333333333,0.8631068071375706,0.7306634386865113
60981755,6-fluoro-2-(4-methoxyphenyl)-1H-benzimidazole,COC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)F,C14H11FN2O,2,1,2,3.377600000000002,242.085541192,18,37.91,0.474808757583751,0,Alta,0.924,0.2372881355932203,0.8702928362230478,0.7120416610655909
14592777,6-fluoro-2-(5-nitro-2-thienyl)-1H-benzimidazole,C1=CC2=C(C=C1F)NC(=N2)C3=CC=C(S3)[N+](=O)[O-],C11H6FN3O2S,4,1,2,3.338700000000001,263.016475652,18,71.82,0.2506265664160401,0,Alta,0.922,0.3220338983050847,0.989578053925638,0.8226920150204997
14592775,6-bromo-2-(5-nitro-2-thienyl)-1H-benzimidazole,C1=CC2=C(C=C1Br)NC(=N2)C3=CC=C(S3)[N+](=O)[O-],C11H6BrN3O2S,4,1,2,3.9621000000000017,322.93640953199997,18,71.82,0.2506265664160401,0,Alta,0.92,0.3220338983050847,0.9591569815077884,0.7998762107071125
39158263,"2-(3,4-difluorophenyl)-1H-benzimidazole",C1=CC=C2C(=C1)NC(=N2)C3=CC(=C(C=C3)F)F,C13H8F2N2,1,1,1,3.5081000000000007,230.065554696,17,28.68,0.592747559274756,0,Alta,0.92,0.2545454545454545,0.7450265757436069,0.6224062954440688
39158436,"5,6-dichloro-2-(4-methoxyphenyl)-1H-benzimidazole",COC1=CC=C(C=C1)C2=NC3=CC(=C(C=C3N2)Cl)Cl,C14H10Cl2N2O,2,1,2,4.545300000000001,292.01701829999996,19,37.91,0.5011870218939595,0,Alta,0.916,0.2631578947368421,0.8235545344076951,0.6834553744899818
56239,6-chloro-2-(4-methoxyphenyl)-1H-benzimidazole,COC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)Cl,C14H11ClN2O,2,1,2,3.8919000000000015,258.055990652,18,37.91,0.474808757583751,0,Alta,0.916,0.2372881355932203,0.8486554757029419,0.6958136406755114
