cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,actividad_predicha,probabilidad_leishmania,tanimoto_similarity,cosine_similarity,combined_75
15435186,2-(4-phenylphenyl)-3H-benzimidazole-5-carboxamidine,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)C(=N)N,C20H16N4,2,3,3,4.180970000000003,312.13749651200004,24,78.55,0.305537873965627,0,Alta,0.91,0.5625,0.996928387541978,0.8883212906564835
53326580,[2-(4-methoxyphenyl)-3H-benzimidazol-5-yl]methanamine,COC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)CN,C15H15N3O,3,2,3,2.6971999999999996,253.1215121,19,63.92999999999999,0.2972000625684343,0,Alta,0.89,0.3103448275862069,0.9409202683640338,0.783276408169577
134954052,6-phenyl-2-(4-phenylphenyl)-1H-benzimidazole,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)C5=CC=CC=C5,C25H18N2,1,1,3,6.563900000000005,346.146998576,27,28.68,0.9414225941422594,1,Alta,0.876,0.5,0.6371209899006599,0.6028407424254949
57545640,2-(4-phenylphenyl)-6-(trifluoromethyl)-1H-benzimidazole,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)C(F)(F)F,C20H13F3N2,1,1,2,5.915700000000004,338.103083076,25,28.68,0.8716875871687587,1,Alta,0.852,0.4313725490196078,0.6935103818719732,0.627975923658882
85997853,2-[3-fluoro-4-(trifluoromethyl)phenyl]-6-methyl-1H-benzimidazole,CC1=CC2=C(C=C1)N=C(N2)C3=CC(=C(C=C3)C(F)(F)F)F,C15H10F4N2,1,1,1,4.696220000000001,294.0780112,21,28.68,0.7322175732217573,0,Alta,0.822,0.2833333333333333,0.7566166199219242,0.6382957982747764
138648971,1-[2-[4-[4-(6-guanidino-1H-benzimidazol-2-yl)phenyl]phenyl]-3H-benzimidazol-5-yl]guanidine,C1=CC(=CC=C1C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)NC(=N)N)C5=NC6=C(N5)C=C(C=C6)NC(=N)N,C28H24N10,4,8,5,5.0509400000000015,500.2185407680002,38,181.16,0.2097593287701479,3,Alta,0.818,0.7209302325581395,0.9925746505707632,0.9246635460676074
44464942,6-methylsulfonyl-2-(4-phenylphenyl)-1H-benzimidazole,CS(=O)(=O)C1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC=CC=C4,C20H16N2O2S,3,1,3,4.300400000000002,348.093248752,25,62.82,0.3979624323463865,0,Alta,0.81,0.4150943396226415,0.8173401811259011,0.7167787207500862
52944705,2-[4-(2-fluorophenyl)phenyl]-6-methylsulfanyl-1H-benzimidazole,CSC1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC=CC=C4F,C20H15FN2S,2,1,3,5.757900000000004,334.0939977,24,28.68,0.8368200836820083,1,Alta,0.808,0.3166666666666666,0.6766487919068949,0.5866532605968378
52945516,2-[4-(2-fluorophenyl)phenyl]-3H-benzimidazole-5-carbonitrile,C1=CC=C(C(=C1)C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)C#N)F,C20H12FN3,2,1,2,4.907680000000003,313.101525604,24,52.47,0.4574042309891367,0,Alta,0.804,0.3166666666666666,0.8929994803422304,0.7489162769233395
86574005,2-[4-(2-pyridyl)phenyl]-1H-benzimidazole,C1=CC=C2C(=C1)NC(=N2)C3=CC=C(C=C3)C4=CC=CC=N4,C18H13N3,2,1,2,4.291900000000003,271.11094741600004,21,41.57,0.5051719990377677,0,Media,0.798,0.3725490196078431,0.8995247608187282,0.7677808255160069
52944085,6-methylsulfonyl-2-[4-(o-tolyl)phenyl]-1H-benzimidazole,CC1=CC=CC=C1C2=CC=C(C=C2)C3=NC4=C(N3)C=C(C=C4)S(=O)(=O)C,C21H18N2O2S,3,1,3,4.608820000000004,362.1088988159999,26,62.82,0.413880929640242,0,Media,0.798,0.3114754098360656,0.8102092186411451,0.6855257664398753
52945533,2-[4-(2-chlorophenyl)phenyl]-6-methylsulfonyl-1H-benzimidazole,CS(=O)(=O)C1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC=CC=C4Cl,C20H15ClN2O2S,3,1,3,4.953800000000003,382.0542764000001,26,62.82,0.413880929640242,0,Media,0.798,0.3064516129032258,0.8016574936964866,0.6778560234981714
17325485,4-[4-(1H-benzimidazol-2-yl)phenyl]morpholine,C1COCCN1C2=CC=C(C=C2)C3=NC4=CC=CC=C4N3,C17H17N3O,3,1,2,3.0665000000000013,279.137162164,21,41.15,0.5103280680437424,0,Media,0.788,0.3703703703703703,0.8050307936105863,0.6963656878005322
52949620,2-[4-(2-fluorophenyl)phenyl]-6-methylsulfinyl-1H-benzimidazole,CS(=O)C1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC=CC=C4F,C20H15FN2OS,2,1,3,4.773400000000003,350.08891232,25,45.75,0.546448087431694,0,Media,0.786,0.3064516129032258,0.829705792384559,0.6988922475142257
17445816,2-(6-pyrrolidin-1-yl-3-pyridyl)-1H-benzimidazole,C1CCN(C1)C2=NC=C(C=C2)C3=NC4=CC=CC=C4N3,C16H16N4,3,1,2,3.225100000000001,264.137496512,20,44.81,0.4463289444320464,0,Media,0.778,0.3103448275862069,0.8213158001810958,0.6935730570323736
162660104,2-[4-(3-furyl)phenyl]-6-(trifluoromethyl)-1H-benzimidazole,C1=CC(=CC=C1C2=COC=C2)C3=NC4=C(N3)C=C(C=C4)C(F)(F)F,C18H11F3N2O,2,1,2,5.508700000000003,328.082347632,24,41.82,0.5738880918220947,1,Media,0.778,0.3050847457627119,0.8326307160149824,0.7007442234519148
52940686,6-tert-butyl-2-[4-(2-fluorophenyl)phenyl]-1H-benzimidazole,CC(C)(C)C1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)C4=CC=CC=C4F,C23H21FN2,1,1,2,6.333500000000004,344.168876892,26,28.68,0.9065550906555092,1,Media,0.776,0.3166666666666666,0.6680352502958554,0.5801931043885582
