cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,actividad_predicha,probabilidad_leishmania,tanimoto_similarity,cosine_similarity,combined_75
493128,4-fluoro-N-[(5-nitro-2-furyl)methyleneamino]benzamide,C1=CC(=CC=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])F,C12H8FN3O4,5,1,4,2.0908,277.04988395600003,20,97.74,0.2046245140167792,0,Alta,1.0,0.5535714285714286,0.898861083572621,0.8125386698223229
5331777,4-fluoro-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide,C1=CC(=CC=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])F,C12H8FN3O4,5,1,4,2.0908,277.04988395600003,20,97.74,0.2046245140167792,0,Alta,1.0,0.5535714285714286,0.898861083572621,0.8125386698223229
5340074,N-[(E)-(5-nitro-2-furyl)methyleneamino]-4-(trifluoromethyl)benzamide,C1=CC(=CC=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])C(F)(F)F,C13H8F3N3O4,5,1,4,2.9705000000000013,327.04669039600003,23,97.74,0.235318191119296,0,Alta,1.0,0.5254237288135594,0.8597273802258172,0.7761514673727526
44568391,3-chloro-4-fluoro-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide,C1=CC(=C(C=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])Cl)F,C12H7ClFN3O4,5,1,4,2.7442,311.010911604,21,97.74,0.2148557397176181,0,Alta,1.0,0.492063492063492,0.8717596629042521,0.776835620194062
73346041,4-iodo-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide,C1=CC(=CC=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])I,C12H8IN3O4,5,1,4,2.5563,384.955953736,20,97.74,0.2046245140167792,0,Alta,0.998,0.543859649122807,0.7906042320953519,0.7289180863522157
9649908,4-methoxy-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide,COC1=CC=C(C=C1)C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-],C13H11N3O5,6,1,5,1.9602999999999997,289.069870452,21,106.97,0.1963167243152285,0,Alta,0.998,0.5166666666666667,0.8962806281979304,0.8013771378151144
5332157,4-methyl-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide,CC1=CC=C(C=C1)C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-],C13H11N3O4,5,1,4,2.2601199999999997,273.074955832,20,97.74,0.2046245140167792,0,Alta,0.996,0.543859649122807,0.8889009117815129,0.8026405961168364
6898627,4-chloro-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide,C1=CC(=CC=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])Cl,C12H8ClN3O4,5,1,4,2.6051,293.02033341599997,20,97.74,0.2046245140167792,0,Alta,0.996,0.543859649122807,0.8761389138868747,0.7930690976958578
5339125,"3,4-dichloro-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide",C1=CC(=C(C=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])Cl)Cl,C12H7Cl2N3O4,5,1,4,3.2585000000000006,326.981361064,21,97.74,0.2148557397176181,0,Alta,0.994,0.5166666666666667,0.8425609255979463,0.7610873608651263
44568392,3-methoxy-4-nitro-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide,COC1=C(C=CC(=C1)C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])[N+](=O)[O-],C13H10N4O7,8,1,6,1.8685,334.0549486599999,24,150.11,0.159882752648058,0,Alta,0.994,0.4769230769230769,0.902568004150431,0.7961567723435925
9558692,3-iodo-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide,C1=CC(=CC(=C1)I)C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-],C12H8IN3O4,5,1,4,2.5563,384.955953736,20,97.74,0.2046245140167792,0,Alta,0.992,0.5333333333333333,0.7906042320953519,0.7262865074048472
44568393,3-hydroxy-4-nitro-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide,C1=CC(=C(C=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])O)[N+](=O)[O-],C12H8N4O7,8,2,5,1.5655,320.039298596,23,161.11,0.1427596052386568,0,Alta,0.992,0.5081967213114754,0.9814388045354044,0.8631282837294222
7348972,4-bromo-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide,C1=CC(=CC=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])Br,C12H8BrN3O4,5,1,4,2.714200000000001,336.969817836,20,97.74,0.2046245140167792,0,Alta,0.99,0.543859649122807,0.8451031566877308,0.7697922797964999
766966,4-bromo-N-[(5-nitro-2-furyl)methyleneamino]benzamide,C1=CC(=CC=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])Br,C12H8BrN3O4,5,1,4,2.714200000000001,336.969817836,20,97.74,0.2046245140167792,0,Alta,0.99,0.543859649122807,0.8451031566877308,0.7697922797964999
6911413,3-hydroxy-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide,C1=CC(=CC(=C1)O)C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-],C12H9N3O5,6,2,4,1.6572999999999996,275.05422038800003,20,117.97,0.1695346274476561,0,Alta,0.99,0.5423728813559322,0.986625889144426,0.8755626371973025
6909762,4-amino-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide,C1=CC(=CC=C1C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])N,C12H10N4O4,6,2,4,1.5339,274.0702048,20,123.76,0.1616031027795733,0,Alta,0.988,0.543859649122807,0.9848460495195784,0.8745994494203855
5332478,3-chloro-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide,C1=CC(=CC(=C1)Cl)C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-],C12H8ClN3O4,5,1,4,2.6051,293.02033341599997,20,97.74,0.2046245140167792,0,Alta,0.988,0.5333333333333333,0.8761389138868747,0.7904375187484893
6873903,"3,4-dimethyl-N-[(E)-(5-nitro-2-furyl)methyleneamino]benzamide",CC1=C(C=C(C=C1)C(=O)NN=CC2=CC=C(O2)[N+](=O)[O-])C,C14H13N3O4,5,1,4,2.5685400000000005,287.090605896,21,97.74,0.2148557397176181,0,Alta,0.988,0.5166666666666667,0.8831834018226292,0.7915542180336386
