cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_75
13526688,1-ethyl-5-fluoro-2-(5-nitro-2-furyl)benzimidazole,CCN1C2=C(C=C(C=C2)F)N=C1C3=CC=C(O3)[N+](=O)[O-],C13H10FN3O3,5,0,3,3.363500000000002,275.0706194,20,74.1,0.2699055330634278,0,0.9322309567902614,0.4067796610169492,0.8008681328469334
65017831,"2-(3,4-dimethoxyphenyl)-6-methoxy-1H-benzimidazole",COC1=CC2=C(C=C1)N=C(N2)C3=CC(=C(C=C3)OC)OC,C16H16N2O3,4,1,4,3.255700000000002,284.116092372,21,56.370000000000005,0.3725385843533794,0,0.9331676308502483,0.23333333333333334,0.7582090564710195
132549338,"2-[6-(3,5-dimethylpyrazol-1-yl)-2-pyridyl]-5,6-dimethyl-1H-benzimidazole",CC1=CC2=C(C=C1C)N=C(N2)C3=NC(=CC=C3)N4C(=CC(=N4)C)C,C19H19N5,4,1,2,4.044280000000001,317.16404560800004,24,59.39,0.4041084357635965,0,0.9293201948020646,0.25,0.7594901461015484
376351,4-(6-chloro-1H-benzimidazol-2-yl)benzoic acid,C1=CC(=CC=C1C2=NC3=C(N2)C=C(C=C3)Cl)C(=O)O,C14H9ClN2O2,2,2,2,3.581500000000001,272.035255208,19,65.98,0.2879660503182782,0,0.8958940576759193,0.23333333333333334,0.7302538765902729
19224653,"2-(3,4-dichlorophenyl)-6-methyl-1H-benzimidazole",CC1=CC2=C(C=C1)N=C(N2)C3=CC(=C(C=C3)Cl)Cl,C14H10Cl2N2,1,1,1,4.845120000000001,276.02210368,18,28.68,0.6276150627615062,0,0.7235974238203753,0.3333333333333333,0.6260314011986149
15895244,[5-(4-amino-1H-benzimidazol-2-yl)-2-furyl]phosphonic acid,C1=CC(=C2C(=C1)NC(=N2)C3=CC=C(O3)P(=O)(O)O)N,C11H10N3O4P,4,4,2,1.2080999999999995,279.04089243,19,125.37,0.1515514078328148,0,0.7434955086533348,0.2786885245901639,0.6272937626375421
12283192,4-methyl-2-(1-methylbenzimidazol-2-yl)thiazole,CC1=CSC(=N1)C2=NC3=CC=CC=C3N2C,C12H11N3S,4,0,1,3.0052200000000013,229.067368352,16,30.71,0.5210029306414848,0,0.8351269014877118,0.12903225806451613,0.6586032406319129
10956241,"2-(1-methyl-3,6-dihydro-2H-pyridin-5-yl)-6-nitro-1H-benzimidazole",CN1CCC=C(C1)C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-],C13H14N4O2,4,1,2,2.1899999999999995,258.111675688,19,75.06,0.253130828670397,0,0.9736809072941298,0.31746031746031744,0.8096257598356766
102081788,1-[6-(1H-benzimidazol-2-yl)-2-pyridyl]ethanone,CC(=O)C1=CC=CC(=N1)C2=NC3=CC=CC=C3N2,C14H11N3O,3,1,2,2.827500000000001,237.090211972,18,58.64,0.3069577080491132,0,0.979743202752134,0.25862068965517243,0.7994625744778936
624993,6-nitro-2-(3-nitrophenyl)-1H-benzimidazole,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-],C13H8N4O4,5,1,3,3.0463000000000013,284.05455473599994,21,114.96,0.1826722338204592,0,0.9819319145515124,0.34545454545454546,0.8228125722772708
129754457,1-methyl-2-(5-nitro-3-thienyl)benzimidazole,CN1C2=CC=CC=C2N=C1C3=CSC(=C3)[N+](=O)[O-],C12H9N3O2S,5,0,2,3.2100000000000017,259.041547528,18,60.959999999999994,0.2952755905511811,0,0.9205672519329567,0.23809523809523808,0.7499492484735271
60646299,4-methyl-2-(2-thienyl)-1H-benzimidazole,CC1=C2C(=CC=C1)NC(=N2)C3=CC=CS3,C12H10N2S,2,1,1,3.599820000000001,214.05646932,15,28.68,0.5230125523012552,0,0.7997497699240617,0.2033898305084746,0.6506597850701649
71372432,"(4R)-2-(1H-benzimidazol-2-yl)-4,5-dihydrothiazole-4-carboxylic acid",C1C(N=C(S1)C2=NC3=CC=CC=C3N2)C(=O)O,C11H9N3O2S,4,2,2,1.5095,247.041547528,17,78.34,0.2170028082716364,0,0.8617413773201421,0.2222222222222222,0.7018615885456622
162668556,2-(5-nitro-2-furyl)-N-[4-(trifluoromethyl)phenyl]-3H-benzimidazole-5-carboxamide,C1=CC(=CC=C1C(F)(F)F)NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-],C19H11F3N4O4,5,2,4,5.002200000000003,416.073239492,30,114.06,0.2630194634402946,1,0.9516563600123772,0.46875,0.8309297700092829
870214,2-(5-methyl-2-thienyl)-1H-benzimidazole,CC1=CC=C(S1)C2=NC3=CC=CC=C3N2,C12H10N2S,2,1,1,3.599820000000002,214.05646932,15,28.68,0.5230125523012552,0,0.7997497699240617,0.2830188679245283,0.6705670444241784
135391728,N-(2-chlorophenyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carboxamide,C1=CC=C(C(=C1)NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-])Cl,C18H11ClN4O4,5,2,4,4.636800000000002,382.046882512,27,114.06,0.2367175170962651,0,0.9669212214250984,0.47619047619047616,0.8442385351164429
53439061,5-(1H-benzimidazol-2-yl)furan-2-carboxylic acid,C1=CC=C2C(=C1)NC(=N2)C3=CC=C(O3)C(=O)O,C12H8N2O3,3,2,2,2.5210999999999997,228.053492116,17,79.12,0.2148634984833164,0,0.9273869433458075,0.37735849056603776,0.789879830150865
12855,2-phenyl-1H-benzimidazole,C1=CC=C(C=C1)C2=NC3=CC=CC=C3N2,C13H10N2,1,1,1,3.2299000000000015,194.08439832,15,28.68,0.5230125523012552,0,0.7270506623357703,0.2653061224489796,0.6116145273640726
132585889,"2-(2-bromo-4,5-dimethoxy-phenyl)-1H-benzimidazole",COC1=C(C=C(C(=C1)C2=NC3=CC=CC=C3N2)Br)OC,C15H13BrN2O2,3,1,3,4.0096000000000025,332.016039756,20,47.14,0.4242681374628765,0,0.8868665509830806,0.2542372881355932,0.7287092352712088
13004835,2-(5-bromo-2-furyl)-6-fluoro-1H-benzimidazole,C1=CC2=C(C=C1F)NC(=N2)C3=CC=C(O3)Br,C11H6BrFN2O,2,1,1,3.724500000000001,279.964753132,16,41.82,0.3825920612147298,0,0.8496804113938969,0.35185185185185186,0.7252232715083857
