cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_25,combined_50,combined_75,combined_geometric,combined_harmonic
166454381,methyl 6-[[1-[5-(tert-butoxycarbonylamino)pentyl]-5-(triisopropylsilyloxymethyl)benzimidazol-2-yl]carbamoyl]pyridine-2-carboxylate,CC(C)[Si](C(C)C)(C(C)C)OCC1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=NC(=CC=C3)C(=O)OC)CCCCCNC(=O)OC(C)(C)C,C35H53N5O6Si,9,2,15,7.857300000000009,667.376510946,47,133.67,0.3516121792474003,2,0.3185837950108828,0.1935483870967742,0.2248072390753013,0.2560660910538285,0.2873249430323557,0.24831709502071278,0.24080259680522736
58190910,N-[4-butanoyl-6-(4-pyridyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CCCC(=O)C1=C2C(=CC(=C1)C3=CC=NC=C3)NC(=N2)NC(=O)C4=CC5=CC=CC=C5C=N4,C26H21N5O2,5,2,6,5.408200000000004,435.169524912,33,100.63,0.3279340157010831,1,0.5367352825460179,0.4057971014492754,0.438531646723461,0.47126619199764663,0.5040007372718323,0.46669649870417057,0.4621711160299391
172445179,"N-[6-cyano-1-(2,2,2-trifluoroethyl)benzimidazol-2-yl]pyridine-2-carboxamide",C1=CC=NC(=C1)C(=O)NC2=NC3=C(N2CC(F)(F)F)C=C(C=C3)C#N,C16H10F3N5O,5,1,3,3.117580000000001,345.08374460000005,25,83.6,0.2990430622009569,0,0.21637430831300114,0.36363636363636365,0.326820849805523,0.29000533597468237,0.2531898221438418,0.2805023469764079,0.27131075500673574
58190814,N-[6-(2-oxo-4-phenyl-butyl)-4-[2-(3H-pyrrol-2-yl)acetyl]-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,C1C=CN=C1CC(=O)C2=C3C(=CC(=C2)CC(=O)CCC4=CC=CC=C4)NC(=N3)NC(=O)C5=CC6=CC=CC=C6C=N5,C33H27N5O3,6,2,10,6.039000000000004,541.211389724,41,117.17,0.3499189212255696,2,0.3928888872087483,0.30120481927710846,0.32412583626001845,0.3470468532429284,0.3699678702258383,0.3440058520835006,0.3409914977239652
58191028,N-[4-[2-(1H-imidazol-2-yl)acetyl]-6-(trifluoromethyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,C1=CC=C2C=NC(=CC2=C1)C(=O)NC3=NC4=C(C=C(C=C4N3)C(F)(F)F)C(=O)CC5=NC=CN5,C23H15F3N6O2,5,3,5,4.530700000000001,464.1208583800001,34,116.42000000000002,0.2920460401992784,0,0.7138684605838597,0.35135135135135137,0.44198062865947846,0.5326099059676055,0.6232391832757326,0.5008179792232383,0.4709237389371863
58190825,N-[6-phenyl-4-[2-(3H-pyrrol-2-yl)acetyl]-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,C1C=CN=C1CC(=O)C2=C3C(=CC(=C2)C4=CC=CC=C4)NC(=N3)NC(=O)C5=CC6=CC=CC=C6C=N5,C29H21N5O2,5,2,6,5.961600000000005,471.1695249120001,36,100.1,0.3596403596403596,1,0.49708800266311476,0.32894736842105265,0.3709825269815682,0.41301768554208373,0.4550528441025992,0.4043708574436452,0.3959050570318681
58190815,N-[4-(2-cyclopentylacetyl)-6-(4-pyridyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,C1CCC(C1)CC(=O)C2=C3C(=CC(=C2)C4=CC=NC=C4)NC(=N3)NC(=O)C5=CC6=CC=CC=C6C=N5,C29H25N5O2,5,2,6,6.188400000000005,475.2008250400001,36,100.63,0.3577461989466362,1,0.4967246604457417,0.36486486486486486,0.3978298137600841,0.43079476265530325,0.46375971155052254,0.4257198328814168,0.42070468775312614
91008216,N-(6-methyl-1H-benzimidazol-2-yl)isoquinoline-3-carboxamide,CC1=CC2=C(C=C1)N=C(N2)NC(=O)C3=CC4=CC=CC=C4C=N3,C18H14N4O,3,2,2,3.671820000000001,302.116761068,23,70.67,0.3254563463987547,0,0.8740019430111649,0.5961538461538461,0.6656158703681758,0.7350778945825055,0.8045399187968352,0.7218307418446797,0.7088223217050622
168275571,"4-carbamothioyl-N-(1,5-dimethylbenzimidazol-2-yl)pyridine-2-carboxamide",CC1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=NC=CC(=C3)C(=S)N)C,C16H15N5OS,5,2,3,2.16322,325.09973110000004,23,85.83,0.2679715717115228,0,0.7629693731535977,0.38095238095238093,0.47645662900268515,0.5719608770529894,0.6674651251032935,0.5391242892845848,0.5081728680363585
58026554,N-[4-(cyclopentylcarbamoyl)-6-(4-pyridyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,C1CCC(C1)NC(=O)C2=C3C(=CC(=C2)C4=CC=NC=C4)NC(=N3)NC(=O)C5=CC6=CC=CC=C6C=N5,C28H24N6O2,5,3,5,5.097800000000003,476.196074008,36,112.66,0.3195455352387715,1,0.6938786576690733,0.3561643835616438,0.44059295208850113,0.5250215206153586,0.609450089142216,0.4971266079936643,0.47071377966683847
155540142,benzyl N-[3-[5-carbamoyl-7-(3-methoxypropoxy)-2-(pyridine-2-carbonylamino)benzimidazol-1-yl]propyl]carbamate,COCCCOC1=CC(=CC2=C1N(C(=N2)NC(=O)C3=CC=CC=N3)CCCNC(=O)OCC4=CC=CC=C4)C(=O)N,C29H32N6O6,9,3,14,3.5143000000000013,560.238332744,41,159.69000000000003,0.2567474481808504,1,0.43667369226472635,0.2823529411764706,0.32093312894853454,0.3595133167205985,0.39809350449266245,0.3511354458685914,0.3429528076178498
166454189,methyl 6-[[1-[5-(tert-butoxycarbonylamino)pentyl]-5-formyl-benzimidazol-2-yl]carbamoyl]pyridine-2-carboxylate,CC(C)(C)OC(=O)NCCCCCN1C2=C(C=C(C=C2)C=O)N=C1NC(=O)C3=NC(=CC=C3)C(=O)OC,C26H31N5O6,9,2,10,3.977700000000003,509.227433712,37,141.51,0.2614656208041834,1,0.3489037416058542,0.20689655172413793,0.242398349194567,0.2779001466649961,0.3134019441354251,0.26867634994896905,0.25975870069950363
58026404,N-[4-[(4-methylsulfonylphenyl)methylcarbamoyl]-6-phenyl-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CS(=O)(=O)C1=CC=C(C=C1)CNC(=O)C2=C3C(=CC(=C2)C4=CC=CC=C4)NC(=N3)NC(=O)C5=CC6=CC=CC=C6C=N5,C32H25N5O4S,6,3,7,5.363900000000004,575.16272528,42,133.91000000000005,0.3136434918975431,2,0.5708988496651334,0.32051282051282054,0.3831093278008988,0.445705835088977,0.5083023423770552,0.42776208403000915,0.4105407336593831
66940520,2-(isoquinoline-3-carbonylamino)-6-(4-pyridyl)-1H-benzimidazole-4-carboxylic acid,C1=CC=C2C=NC(=CC2=C1)C(=O)NC3=NC4=C(C=C(C=C4N3)C5=CC=NC=C5)C(=O)O,C23H15N5O3,5,3,4,4.123600000000002,409.11748934,31,120.86,0.2564951183187158,0,0.7816093758018131,0.4,0.49540234395045335,0.5908046879009066,0.6862070318513598,0.5591455537878535,0.5291829207238176
58026590,"N-[6-(1,3-benzothiazol-2-ylcarbamoyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide",C1=CC=C2C=NC(=CC2=C1)C(=O)NC3=NC4=C(N3)C=C(C=C4)C(=O)NC5=NC6=CC=CC=C6S5,C25H16N6O2S,6,3,4,5.225400000000001,464.105544752,34,112.66,0.3017930055032842,1,0.7146836311862801,0.38235294117647056,0.46543561367892294,0.5485182861813753,0.6316009586838277,0.522744094557513,0.4981810001214735
174227220,"3-[4-[5-carbamoyl-7-(3-morpholinopropoxy)-2-(pyridine-2-carbonylamino)benzimidazol-1-yl]but-2-enyl]-2-(pyridine-2-carbonylamino)imidazo[4,5-b]pyridine-6-carboxamide",C1COCCN1CCCOC2=CC(=CC3=C2N(C(=N3)NC(=O)C4=CC=CC=N4)CC=CCN5C6=C(C=C(C=N6)C(=O)N)N=C5NC(=O)C7=CC=CC=N7)C(=O)N,C38H38N12O6,14,4,15,2.6309000000000005,758.303726936,56,240.39,0.2329547818128873,2,0.3974297297064047,0.25274725274725274,0.2889178719870407,0.3250884912268287,0.36125911046661674,0.31693733188656875,0.30899055197032205
58026422,N-[6-(1H-imidazol-2-ylcarbamoyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,C1=CC=C2C=NC(=CC2=C1)C(=O)NC3=NC4=C(N3)C=C(C=C4)C(=O)NC5=NC=CN5,C21H15N7O2,5,4,4,3.3388,397.1287227200001,30,128.45000000000002,0.2335539120280264,0,0.8621743170638075,0.43548387096774194,0.5421564824917583,0.6488290940157747,0.7555017055397911,0.6127503643768122,0.5786778251882578
155515232,7-methoxy-1-propyl-2-(pyridine-2-carbonylamino)benzimidazole-5-carboxamide,CCCN1C2=C(C=C(C=C2OC)C(=O)N)N=C1NC(=O)C3=CC=CC=N3,C18H19N5O3,6,2,6,2.2011000000000003,353.148789468,26,112.13,0.231873718005886,0,0.5414919868031722,0.34285714285714286,0.3925158538436502,0.44217456483015755,0.4918332758166649,0.43087631110954955,0.41986674549379505
155526060,benzyl N-[3-[5-carbamoyl-2-(isoquinoline-1-carbonylamino)-7-methoxy-benzimidazol-1-yl]propyl]carbamate,COC1=CC(=CC2=C1N(C(=N2)NC(=O)C3=NC=CC4=CC=CC=C43)CCCNC(=O)OCC5=CC=CC=C5)C(=O)N,C30H28N6O5,8,3,10,4.2608000000000015,552.212117996,41,150.46,0.2724976738003456,1,0.5156512569539216,0.1935483870967742,0.274074104561061,0.3545998220253479,0.4351255394896347,0.31591687053377787,0.28145380479272075
88487818,"methyl 6-[(1E)-1-[(Z)-2-aminovinyl]buta-1,3-dienyl]-2-(isoquinoline-3-carbonylamino)-1H-benzimidazole-4-carboxylate",COC(=O)C1=C2C(=CC(=C1)C(=CC=C)C=CN)NC(=N2)NC(=O)C3=CC4=CC=CC=C4C=N3,C25H21N5O3,6,3,6,4.1918000000000015,439.164439532,33,122.99,0.2683144971135864,0,0.7060079846731688,0.32051282051282054,0.4168866115529076,0.5132604025929947,0.6096341936330818,0.47569382009037026,0.44087681287895636
162562536,"N-[4-(1H-imidazol-2-ylcarbamoyl)-6-(trifluoromethyl)-1H-benzimidazol-2-yl]-5,6-dihydroisoquinoline-3-carboxamide",C1CC2=CC(=NC=C2C=C1)C(=O)NC3=NC4=C(C=C(C=C4N3)C(F)(F)F)C(=O)NC5=NC=CN5,C22H16F3N7O2,5,4,4,4.1638,467.13175741200007,34,128.45000000000002,0.2646944336317633,0,0.8160826615594944,0.275,0.4102706653898736,0.5455413307797472,0.6808119961696207,0.4737327642551874,0.41137622260093754
170421225,"N-(1,5-dimethylbenzimidazol-2-yl)pyridine-2-carboxamide",CC1=CC2=C(C=C1)N(C(=N2)NC(=O)C3=CC=CC=N3)C,C15H14N4O,4,1,2,2.52902,266.116761068,20,59.81,0.3343922420999832,0,0.31065484438228386,0.5686274509803921,0.5041342993308651,0.439641147681338,0.3751479960318109,0.42029379283521245,0.40179785997612344
58026451,N-[4-(ethylcarbamoyl)-6-(4-pyridyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CCNC(=O)C1=C2C(=CC(=C1)C3=CC=NC=C3)NC(=N2)NC(=O)C4=CC5=CC=CC=C5C=N4,C25H20N6O2,5,3,5,4.175100000000001,436.16477388,33,112.66,0.2929167406355405,0,0.7381822911575766,0.391304347826087,0.4780238336589594,0.5647433194918318,0.6514628053247042,0.5374513373489568,0.5114782770305264
58026459,N-[4-[(4-methylsulfonylphenyl)methylcarbamoyl]-6-(trifluoromethyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CS(=O)(=O)C1=CC=C(C=C1)CNC(=O)C2=C3C(=CC(=C2)C(F)(F)F)NC(=N3)NC(=O)C4=CC5=CC=CC=C5C=N4,C27H20F3N5O4S,6,3,6,4.715700000000003,567.11880978,40,133.91000000000005,0.2987080875214696,1,0.5860207587719166,0.31645569620253167,0.3838469618448779,0.45123822748722414,0.5186294931295704,0.43063860394337933,0.4109793805347606
58190775,N-[4-[3-(4-methylsulfonylphenyl)propanoyl]-6-(trifluoromethyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CS(=O)(=O)C1=CC=C(C=C1)CCC(=O)C2=C3C(=CC(=C2)C(F)(F)F)NC(=N3)NC(=O)C4=CC5=CC=CC=C5C=N4,C28H21F3N4O4S,6,2,7,5.601200000000004,566.123560812,40,121.88,0.3281916639317361,2,0.4080615983710029,0.3291139240506329,0.3488508426307254,0.36858776121081793,0.3883246797909104,0.3664679438835737,0.3643603180232575
