cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_75
22332116,N-[(3-bromophenyl)methyl]-1-propyl-benzimidazol-2-amine,CCCN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)Br,C17H18BrN3,3,1,5,4.820900000000003,343.068409676,21,29.85,0.7035175879396984,0,0.9119883839376086,0.4909090909090909,0.8067185606804791
134854259,N-benzyl-1-prop-2-ynyl-benzimidazol-2-amine,C#CCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3,C17H15N3,3,1,4,3.281600000000001,261.12659748,20,29.85,0.6700167504187604,0,0.9624396783753992,0.36363636363636365,0.8127388496906404
787408,2-[[(1-ethylbenzimidazol-2-yl)amino]methyl]-4-methyl-phenol,CCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)C)O,C17H19N3O,4,2,4,3.682320000000002,281.152812228,21,50.08,0.4193290734824281,0,0.9920914737898929,0.5769230769230769,0.8882993745731889
3302541,4-bromo-2-[[(1-nonylbenzimidazol-2-yl)amino]methyl]phenol,CCCCCCCCCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)Br)O,C23H30BrN3O,4,2,11,6.867100000000006,443.15722468,28,50.08,0.5591054313099042,1,0.8882587644468267,0.7115384615384616,0.8440786887197355
5243778,5-bromo-2-(difluoromethoxy)-N-(1-propylbenzimidazol-2-yl)benzamide,CCCN1C2=CC=CC=C2N=C1NC(=O)C3=C(C=CC(=C3)Br)OC(F)F,C18H16BrF2N3O2,4,1,6,5.062500000000003,423.03939529199994,26,56.150000000000006,0.4630454140694567,1,0.897365903767583,0.38235294117647056,0.7686126631198048
787412,4-bromo-2-[[(1-ethylbenzimidazol-2-yl)amino]methyl]phenol,CCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)Br)O,C16H16BrN3O,4,2,4,4.136400000000003,345.04767423199996,21,50.08,0.4193290734824281,0,0.996762608195245,0.7659574468085106,0.9390613178485614
932019,"N-[(2,4-dimethoxyphenyl)methyl]-1-methyl-benzimidazol-2-amine",CN1C2=CC=CC=C2N=C1NCC3=C(C=C(C=C3)OC)OC,C17H19N3O2,5,1,5,3.2026000000000012,297.147726848,22,48.31,0.4553922583316083,0,0.926248990661825,0.5283018867924528,0.826762214694482
934050,N-[(3-bromophenyl)methyl]-1-methyl-benzimidazol-2-amine,CN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)Br,C15H14BrN3,3,1,3,3.9479000000000024,315.037109548,19,29.85,0.6365159128978224,0,0.9648805147431053,0.6382978723404256,0.8832348541424353
872071,N-(1-ethylbenzimidazol-2-yl)benzamide,CCN1C2=CC=CC=C2N=C1NC(=O)C3=CC=CC=C3,C16H15N3O,3,1,3,3.3085000000000013,265.1215121,20,46.92,0.4262574595055413,0,0.9732349133236275,0.3333333333333333,0.813259518326054
6619020,N-[(4-bromophenyl)methyl]-1-ethyl-benzimidazol-2-amine,CCN1C2=CC=CC=C2N=C1NCC3=CC=C(C=C3)Br,C16H16BrN3,3,1,4,4.430800000000002,329.052759612,20,29.85,0.6700167504187604,0,0.940153486804894,0.49019607843137253,0.8276641347115137
