cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,actividad_predicha,probabilidad_leishmania,tanimoto_similarity,cosine_similarity,combined_75,ref_smiles,shape_tanimoto,color_tanimoto,combo_tanimoto,pred
137634237,2-methyl-N-[(E)-(5-nitro-2-furyl)methyleneamino]-3H-benzimidazole-5-carboxamide,CC1=NC2=C(N1)C=C(C=C2)C(=O)NN=CC3=CC=C(O3)[N+](=O)[O-],C14H11N5O4,6,2,4,2.13642,313.081103832,23,126.42,0.1819332384116437,0,Alta,0.946,0.6229508196721312,0.9884794149396364,0.8970972661227601,O=C(N\N=C\C1=CC=C(O1)N(=O)=O)C1=NC2=C(N1)C=CC=C2,0.805,0.5491,1.3541,1.3409235
14592776,6-chloro-2-(5-nitro-2-thienyl)-1H-benzimidazole,C1=CC2=C(C=C1Cl)NC(=N2)C3=CC=C(S3)[N+](=O)[O-],C11H6ClN3O2S,4,1,2,3.853000000000001,278.9869251119999,18,71.82,0.2506265664160401,0,Alta,0.928,0.3220338983050847,0.9751121627896512,0.8118425966685097,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.9039,0.7644,1.6684,1.4810162
14592773,6-methyl-2-(5-nitro-2-thienyl)-1H-benzimidazole,CC1=CC2=C(C=C1)N=C(N2)C3=CC=C(S3)[N+](=O)[O-],C12H9N3O2S,4,1,2,3.508020000000001,259.041547528,18,71.82,0.2506265664160401,0,Alta,0.926,0.4444444444444444,0.9867693722677104,0.8511881403118939,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.8643,0.7647,1.6291,1.5383914
14592774,2-(5-nitro-2-thienyl)-6-(trifluoromethyl)-1H-benzimidazole,C1=CC2=C(C=C1C(F)(F)F)NC(=N2)C3=CC=C(S3)[N+](=O)[O-],C12H6F3N3O2S,4,1,2,4.218400000000001,313.0132820919999,21,71.82,0.2923976608187135,0,Alta,0.926,0.3064516129032258,0.9567462792791588,0.7941726126851756,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.8766,0.7647,1.6414,1.3746938
14592775,6-bromo-2-(5-nitro-2-thienyl)-1H-benzimidazole,C1=CC2=C(C=C1Br)NC(=N2)C3=CC=C(S3)[N+](=O)[O-],C11H6BrN3O2S,4,1,2,3.962100000000002,322.936409532,18,71.82,0.2506265664160401,0,Alta,0.918,0.3220338983050847,0.9591569815077884,0.7998762107071125,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.9012,0.6928,1.594,1.4720399
14592772,2-(5-nitro-2-thienyl)-1H-benzimidazole,C1=CC=C2C(=C1)NC(=N2)C3=CC=C(S3)[N+](=O)[O-],C11H7N3O2S,4,1,2,3.199600000000001,245.025897464,17,71.82,0.2367028682818156,0,Alta,0.914,0.3454545454545454,0.9927618441500436,0.8309350194761691,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.8246,0.5435,1.3681,1.5286391
19224120,2-(3-ethoxyphenyl)-1H-benzimidazole,CCOC1=CC=CC(=C1)C2=NC3=CC=CC=C3N2,C15H14N2O,2,1,3,3.628600000000001,238.110613068,18,37.91,0.474808757583751,0,Alta,0.914,0.25,0.8522005664452723,0.7016504248339542,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.7104,0.7418,1.4522,1.3792067
14592777,6-fluoro-2-(5-nitro-2-thienyl)-1H-benzimidazole,C1=CC2=C(C=C1F)NC(=N2)C3=CC=C(S3)[N+](=O)[O-],C11H6FN3O2S,4,1,2,3.338700000000001,263.016475652,18,71.82,0.2506265664160401,0,Alta,0.912,0.3220338983050847,0.989578053925638,0.8226920150204997,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.9082,0.7645,1.6727,1.4813809
172418928,N-[(E)-(5-nitro-2-furyl)methyleneamino]-1H-benzimidazole-2-carboxamide,C1=CC=C2C(=C1)NC(=N2)C(=O)NN=CC3=CC=C(O3)[N+](=O)[O-],C13H9N5O4,6,2,4,1.828,299.065453768,22,126.42,0.1740230976111374,0,Alta,0.91,1.0,1.0,1.0,O=C(N\N=C\C1=CC=C(O1)N(=O)=O)C1=NC2=C(N1)C=CC=C2,1.0,1.0,2.0,1.9555962
17325487,2-[4-(1-piperidyl)phenyl]-1H-benzimidazole,C1CCN(CC1)C2=CC=C(C=C2)C3=NC4=CC=CC=C4N3,C18H19N3,2,1,2,4.220200000000003,277.157897608,21,31.92,0.6578947368421052,0,Alta,0.908,0.3773584905660377,0.8217758198551751,0.7106714875328908,NC(=N)NC1=CC2=C(NC(=N2)C2=CC=C(C=C2)C2=CC=CC=C2)C=C1,0.8057,0.6353,1.441,1.3007188
